Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2023-12-23,12:40:00,ASCOT,Scamallach Liath,2m7½f,2,2.63,2.62,0.79822737
2023-12-23,12:40:00,ASCOT,Wrappedupinmay,2m7½f,5,4.0,4.99,0.6696442
2023-12-23,12:40:00,ASCOT,Top Cloud,2m7½f,1,6.5,8.6,0.527574
2023-12-23,12:40:00,ASCOT,Zonda,2m7½f,4,9.0,10.62,0.4568992
2023-12-23,12:40:00,ASCOT,Micro Millions,2m7½f,PU,9.0,9.5,0.46248254
2023-12-23,12:40:00,ASCOT,Idefix De Ciergues,2m7½f,6,17.0,33.05,0.262716
2023-12-23,12:40:00,ASCOT,Transmission,2m7½f,3,19.0,29.77,0.2477604
2023-12-23,12:40:00,ASCOT,Illogical Logic,2m7½f,7,29.0,40.08,0.18422009
2023-12-23,12:40:00,ASCOT,Technology,2m7½f,PU,41.0,63.28,0.09819598
2023-12-23,13:15:00,ASCOT,Solo,2m5f,2,1.83,1.96,0.88253516
2023-12-23,13:15:00,ASCOT,Excello,2m5f,1,3.75,3.81,0.7265091
2023-12-23,13:15:00,ASCOT,Straw Fan Jack,2m5f,3,4.0,4.1,0.7024466
2023-12-23,13:50:00,ASCOT,Triple Trade,2m3f,1,3.25,3.48,0.6254671
2023-12-23,13:50:00,ASCOT,Cap Du Mathan,2m3f,PU,3.5,3.68,0.68440837
2023-12-23,13:50:00,ASCOT,Harpers Brook,2m3f,2,5.5,5.33,0.6205816
2023-12-23,13:50:00,ASCOT,Black Gerry,2m3f,5,6.5,7.81,0.51011896
2023-12-23,13:50:00,ASCOT,Shan Blue,2m3f,3,12.0,15.7,0.3333216
2023-12-23,13:50:00,ASCOT,Eden Du Houx,2m3f,4,19.0,21.5,0.2870082
2023-12-23,13:50:00,ASCOT,El Barra,2m3f,PU,34.0,55.0,0.09606956
2023-12-23,14:25:00,ASCOT,West Balboa,3m½f,10,4.0,5.0,0.52345186
2023-12-23,14:25:00,ASCOT,Goshen,3m½f,9,34.0,39.14,0.06309809
2023-12-23,14:25:00,ASCOT,Crambo,3m½f,1,6.0,7.03,0.4840355
2023-12-23,14:25:00,ASCOT,Champ,3m½f,4,6.5,6.72,0.39385784
2023-12-23,14:25:00,ASCOT,Paisley Park,3m½f,2,7.0,7.8,0.112763844
2023-12-23,14:25:00,ASCOT,Dashel Drasher,3m½f,3,9.5,11.46,0.13958654
2023-12-23,14:25:00,ASCOT,Botox Has,3m½f,6,10.0,12.39,0.27380338
2023-12-23,14:25:00,ASCOT,Blueking DOroux,3m½f,5,10.0,11.9,0.25783622
2023-12-23,14:25:00,ASCOT,Gowel Road,3m½f,7,11.0,13.97,0.33491635
2023-12-23,14:25:00,ASCOT,Red Risk,3m½f,8,26.0,36.45,0.06396666
2023-12-23,15:00:00,ASCOT,Blackjack Magic,3m,4,4.5,5.72,0.6181281
2023-12-23,15:00:00,ASCOT,Victtorino,3m,1,5.0,5.45,0.5166639
2023-12-23,15:00:00,ASCOT,Git Maker,3m,6,5.5,5.89,0.58227664
2023-12-23,15:00:00,ASCOT,Yeah Man,3m,2,6.0,6.54,0.6000518
2023-12-23,15:00:00,ASCOT,Hascoeur Clermont,3m,9,11.0,10.45,0.37254044
2023-12-23,15:00:00,ASCOT,Flegmatik,3m,3,15.0,14.9,0.30633837
2023-12-23,15:00:00,ASCOT,Make Me A Believer,3m,7,17.0,17.17,0.23730727
