Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability,Race_ID,Predicted_Rank,Top_3_Flag,Odds_To_Use,Expected_Value,Field_Size,Kelly_Fraction,Reject_Reason,Winrate_Threshold,Bet_Placed,Stake,Actual_Result,Bet_Return,Bankroll_After_Race
2023-02-11,14:25:00,NEWBURY,Fanion DEstruval,2m7½f,4.0,4.33,4.7,0.2104191171487908,2023-02-11_14:25:00,3.0,True,4.33,-0.08888522274573585,7,-0.02669225908280356,kelly_low|,0,False,0.0,0,0.0,10000.0
2023-02-11,14:25:00,NEWBURY,Does He Know,2m7½f,3.0,8.5,10.0,0.1124287348804942,2023-02-11_14:25:00,4.0,False,8.5,-0.044355753515799345,7,-0.005914100468773246,kelly_low|,0,False,0.0,0,0.0,10000.0
2023-02-11,15:00:00,NEWBURY,Malystic,2m½f,4.0,6.0,7.52,0.1554196762039404,2023-02-11_15:00:00,4.0,False,6.0,-0.06748194277635766,4,-0.013496388555271532,kelly_low|,0,False,0.0,0,0.0,9900.0
2023-02-19,15:00:00,NEWBURY,Amalfi Skyline,2m½f,,13.0,19.19,0.07344663485487575,2023-02-19_15:00:00,4.0,False,13.0,-0.04519374688661515,5,-0.003766145573884596,kelly_low|,0,False,0.0,0,0.0,9604.98
2023-02-19,16:45:00,NEWBURY,Max Wolf,2m½f,4.0,29.0,64.18,0.04333461420133167,2023-02-19_16:45:00,4.0,False,29.0,0.25670381183861835,4,0.009167993279950656,odds_high|,0,False,0.0,0,0.0,9508.930199999999
2023-03-03,13:40:00,NEWBURY,Sashenka,2m4½f,1.0,5.0,5.7,0.16431742052074225,2023-03-03_13:40:00,4.0,False,5.0,-0.17841289739628874,7,-0.044603224349072185,kelly_low|,0,False,0.0,1,0.0,9508.930199999999
2023-03-03,13:40:00,NEWBURY,Ballycamus,2m4½f,2.0,5.0,5.5,0.17193782852369324,2023-03-03_13:40:00,3.0,True,5.0,-0.14031085738153382,7,-0.035077714345383454,kelly_low|,0,False,0.0,0,0.0,9508.930199999999
2023-03-03,16:00:00,NEWBURY,Bothwell Bridge,3m,5.0,6.0,7.0,0.16252737116456065,2023-03-03_16:00:00,3.0,True,6.0,-0.024835773012636175,7,-0.004967154602527235,kelly_low|,0,False,0.0,0,0.0,9318.751595999998
2023-03-03,16:00:00,NEWBURY,Hurricane Harvey,3m,3.0,7.0,8.36,0.13428999131748895,2023-03-03_16:00:00,4.0,False,7.0,-0.05997006077757738,7,-0.00999501012959623,kelly_low|,0,False,0.0,0,0.0,9318.751595999998
2023-03-03,17:05:00,NEWBURY,Passing Reflection,2m3f,4.0,4.0,3.9,0.23807912478978102,2023-03-03_17:05:00,3.0,True,4.0,-0.047683500840875914,4,-0.015894500280291973,kelly_low|,0,False,0.0,0,0.0,9041.052798439197
2023-03-04,13:40:00,NEWBURY,Cloth Cap,3m2f,5.0,4.5,4.4,0.18049475478909618,2023-03-04_13:40:00,4.0,False,4.5,-0.18777360344906724,5,-0.053649600985447785,kelly_low|,0,False,0.0,0,0.0,9583.515966345549
2023-03-04,14:45:00,NEWBURY,Gemirande,2m4f,2.0,4.0,4.5,0.19073750197714395,2023-03-04_14:45:00,3.0,True,4.0,-0.2370499920914242,7,-0.07901666403047473,kelly_low|,0,False,0.0,0,0.0,9487.680806682094
2023-03-04,16:00:00,NEWBURY,Fame And Fun,2m½f,2.0,4.33,4.96,0.18382198627311733,2023-03-04_16:00:00,3.0,True,4.33,-0.204050799437402,7,-0.06127651634756817,kelly_low|,0,False,0.0,0,0.0,9487.680806682094
2023-03-04,16:00:00,NEWBURY,Dom Perry,2m½f,3.0,5.5,6.44,0.18136339844356564,2023-03-04_16:00:00,4.0,False,5.5,-0.002501308560388993,7,-0.0005558463467531095,kelly_low|,0,False,0.0,0,0.0,9487.680806682094
2023-03-04,16:35:00,NEWBURY,Flash Collonges,2m7½f,1.0,5.0,5.63,0.19785489727138064,2023-03-04_16:35:00,3.0,True,5.0,-0.010725513643096818,5,-0.0026813784107742045,kelly_low|,0,False,0.0,1,0.0,9392.803998615273
2023-03-25,15:15:00,NEWBURY,Abbeyhill,2m½f,6.0,41.0,80.0,0.017470116932697958,2023-03-25_15:15:00,4.0,False,41.0,-0.28372520575938376,7,-0.007093130143984594,kelly_low|odds_high|,0,False,0.0,0,0.0,9107.188737735056
2023-04-22,13:30:00,NEWBURY,Max Vega,1m4f,3.0,5.0,6.45,0.1984275690404119,2023-04-22_13:30:00,3.0,True,5.0,-0.007862154797940502,7,-0.0019655386994851254,kelly_low|,0,False,0.0,0,0.0,8485.89705062187
2023-06-07,15:45:00,NEWBURY,Sergeant Tibbs,6f,4.0,5.0,6.2,0.1677832161491357,2023-06-07_15:45:00,3.0,True,5.0,-0.16108391925432153,7,-0.04027097981358038,kelly_low|,0,False,0.0,0,0.0,8068.356972143071
2023-06-07,16:20:00,NEWBURY,Sayifyouwill,7f,4.0,5.0,5.8,0.1970322573551069,2023-06-07_16:20:00,3.0,True,5.0,-0.014838713224465505,7,-0.0037096783061163763,kelly_low|,0,False,0.0,0,0.0,8068.356972143071
2023-06-07,16:20:00,NEWBURY,Havana By The Sea,7f,5.0,5.0,5.6,0.1764618323340166,2023-06-07_16:20:00,4.0,False,5.0,-0.117690838329917,7,-0.02942270958247925,kelly_low|,0,False,0.0,0,0.0,8068.356972143071
2023-06-27,19:15:00,NEWBURY,Greystoke,1m4f,6.0,6.0,7.2,0.13597145826491236,2023-06-27_19:15:00,4.0,False,6.0,-0.18417125041052596,7,-0.03683425008210519,kelly_low|,0,False,0.0,0,0.0,7776.885375476621
2023-06-27,19:15:00,NEWBURY,Obsidian Knight,1m4f,2.0,6.0,7.17,0.1533034692856465,2023-06-27_19:15:00,3.0,True,6.0,-0.08017918428612092,7,-0.016035836857224185,kelly_low|,0,False,0.0,0,0.0,7776.885375476621
2023-07-06,19:15:00,NEWBURY,Sassy Belle,7f,3.0,4.5,5.15,0.17230485724608774,2023-07-06_19:15:00,3.0,True,4.5,-0.2246281423926052,7,-0.06417946925503006,kelly_low|,0,False,0.0,0,0.0,7776.885375476621
2023-07-06,19:15:00,NEWBURY,Milteye,7f,4.0,5.0,5.62,0.168669909305256,2023-07-06_19:15:00,4.0,False,5.0,-0.15665045347372009,7,-0.03916261336843002,kelly_low|,0,False,0.0,0,0.0,7776.885375476621
2023-07-06,20:25:00,NEWBURY,Graham,1m2f,2.0,4.33,4.8,0.190789961083097,2023-07-06_20:25:00,3.0,True,4.33,-0.17387946851018998,7,-0.05221605660966666,kelly_low|,0,False,0.0,0,0.0,8238.054678242384
