Date of Race,Time,Horse,Industry SP,Predicted_Win_Probability,Expected_Value,Kelly_Fraction,Top_3_Pick_Rank,Recommended_Stake
2025-07-16,14:30:00,Made All,2.2,0.24211642114360954,-0.467343873484059,-0.38945322790338244,1,-389.4532279033824
2025-07-16,14:30:00,Destinado,4.5,0.23550203817519091,0.0597591717883591,0.017074049082388316,2,17.074049082388317
2025-07-16,15:00:00,Gillali Lass,2.1,0.2900951904520395,-0.390800100050717,-0.35527281822792456,1,-355.2728182279246
2025-07-16,15:00:00,Maasai Mata,4.0,0.23498250647015687,-0.06006997411937254,-0.020023324706457513,2,-20.02332470645751
2025-07-16,15:30:00,Miss Yechance,1.67,0.35828963925479357,-0.4016563024444947,-0.5994870185738728,1,-599.4870185738728
2025-07-16,15:30:00,Rose Of Spain,2.63,0.3059830685241283,-0.19526452978154263,-0.11979419005002616,2,-119.79419005002616
2025-07-16,16:00:00,Mrs Bagerran,4.0,0.15967009871113938,-0.3613196051554425,-0.12043986838514749,1,-120.43986838514749
2025-07-16,16:00:00,Masterclass,6.5,0.15251883371061234,-0.00862758088101978,-0.0015686510692763237,2,-1.5686510692763238
2025-07-16,16:30:00,Sir Garfield,3.0,0.2115994376371064,-0.3652016870886808,-0.1826008435443404,1,-182.6008435443404
2025-07-16,16:30:00,Wheels Of Fire,3.25,0.21095566080442033,-0.314394102385634,-0.13973071217139288,2,-139.73071217139287
2025-07-16,17:00:00,Reidh,4.5,0.17713687762619876,-0.20288405068210558,-0.05796687162345874,1,-57.96687162345874
2025-07-16,17:00:00,Native Instinct,4.5,0.15719400769944036,-0.2926269653525183,-0.0836077043864338,2,-83.60770438643381
