Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2025-07-16,14:30:00,CATTERICK,Made All,1m4f,1,2.2,2.34,0.7751728
2025-07-16,14:30:00,CATTERICK,Destinado,1m4f,5,4.5,4.73,0.75399584
2025-07-16,14:30:00,CATTERICK,Stellarmasterpiece,1m4f,3,5.5,6.2,0.41786674
2025-07-16,14:30:00,CATTERICK,Star Start,1m4f,4,10.0,11.5,0.50779444
2025-07-16,14:30:00,CATTERICK,Saxon Land,1m4f,6,12.0,14.0,0.480284
2025-07-16,14:30:00,CATTERICK,Miaswell,1m4f,7,29.0,42.0,0.13672596
2025-07-16,14:30:00,CATTERICK,Irv,1m4f,2,34.0,56.43,0.12981336
2025-07-16,15:00:00,CATTERICK,Gillali Lass,6f,2,2.1,2.25,0.85068464
2025-07-16,15:00:00,CATTERICK,Maasai Mata,6f,5,4.0,4.3,0.6890704
2025-07-16,15:00:00,CATTERICK,Shetakesthegold,6f,1,5.5,6.33,0.60153824
2025-07-16,15:00:00,CATTERICK,Woody Y Fernandez,6f,3,7.5,7.88,0.52878594
2025-07-16,15:00:00,CATTERICK,Ocean Pie,6f,6,29.0,43.94,0.1349418
2025-07-16,15:00:00,CATTERICK,Maledetta Minerva,6f,4,34.0,38.74,0.12741174
2025-07-16,15:30:00,CATTERICK,Miss Yechance,5f,1,1.67,1.69,0.9145321
2025-07-16,15:30:00,CATTERICK,Rose Of Spain,5f,2,2.63,3.45,0.7810199
2025-07-16,15:30:00,CATTERICK,Brimfulofattitude,5f,3,15.0,24.0,0.33925995
2025-07-16,15:30:00,CATTERICK,Tenors Inn,5f,7,15.0,32.0,0.25473437
2025-07-16,15:30:00,CATTERICK,Davorge Nation,5f,6,26.0,46.0,0.1224423
2025-07-16,15:30:00,CATTERICK,Amazon Jungle,5f,8,34.0,52.45,0.09557356
2025-07-16,15:30:00,CATTERICK,Doilookokay,5f,4,126.0,358.79,0.027113441
2025-07-16,15:30:00,CATTERICK,Dance Hello,5f,5,151.0,1000.0,0.017818227
2025-07-16,16:00:00,CATTERICK,Mrs Bagerran,5f,6,4.0,4.17,0.7076555
2025-07-16,16:00:00,CATTERICK,Herakles,5f,7,5.0,6.0,0.52874225
2025-07-16,16:00:00,CATTERICK,Masterclass,5f,5,6.5,7.2,0.6759612
2025-07-16,16:00:00,CATTERICK,Wee Mary,5f,8,7.5,8.1,0.5200258
2025-07-16,16:00:00,CATTERICK,Irish Dancer,5f,2,9.5,10.0,0.4564481
2025-07-16,16:00:00,CATTERICK,Lady Bouquet,5f,1,10.0,11.5,0.503025
2025-07-16,16:00:00,CATTERICK,Zuffolo,5f,3,11.0,12.69,0.45995018
2025-07-16,16:00:00,CATTERICK,Lets Go Hugo,5f,4,12.0,15.55,0.42445758
2025-07-16,16:00:00,CATTERICK,Invincible Crown,5f,9,41.0,46.0,0.1557195
2025-07-16,16:30:00,CATTERICK,Sir Garfield,6f,4,3.0,3.05,0.7347741
2025-07-16,16:30:00,CATTERICK,Wheels Of Fire,6f,3,3.25,3.6,0.7325386
2025-07-16,16:30:00,CATTERICK,Dothan,6f,2,5.5,6.4,0.62586415
2025-07-16,16:30:00,CATTERICK,Chuti Manika,6f,1,7.5,8.18,0.55114806
2025-07-16,16:30:00,CATTERICK,Lucky Man,6f,6,10.0,12.17,0.40026078
2025-07-16,16:30:00,CATTERICK,Megaphone,6f,5,13.0,19.0,0.42789093
2025-07-16,17:00:00,CATTERICK,Native Instinct,7f,2,4.5,4.69,0.67136806
2025-07-16,17:00:00,CATTERICK,Reidh,7f,4,4.5,5.28,0.7565431
2025-07-16,17:00:00,CATTERICK,Mister Invincible,7f,10,34.0,43.42,0.1464195
2025-07-16,17:00:00,CATTERICK,Vince Le Prince,7f,5,5.0,5.89,0.5467028
2025-07-16,17:00:00,CATTERICK,Benacre,7f,7,7.0,7.17,0.5774678
2025-07-16,17:00:00,CATTERICK,Finbars Lad,7f,9,8.0,9.4,0.4632777
2025-07-16,17:00:00,CATTERICK,Willolarupi,7f,6,13.0,16.5,0.3807588
2025-07-16,17:00:00,CATTERICK,Bellarchi,7f,1,15.0,19.0,0.29300007
2025-07-16,17:00:00,CATTERICK,King Chaos,7f,8,23.0,27.0,0.28965306
2025-07-16,17:00:00,CATTERICK,Intervention,7f,3,29.0,29.22,0.1457611
